Entry	Sam_16S_01	Sam_16S_02	Sam_16S_03	Sam_16S_04	Sam_16S_05	Sam_16S_06	Sam_16S_07	Sam_16S_08	Sam_16S_09	Sam_16S_10	Sam_16S_11	Sam_16S_12	Sam_16S_13	Sam_16S_14	Sam_16S_15	Sam_16S_16	Sam_16S_17	Sam_16S_18	Sam_16S_19	Sam_16S_20	Sam_16S_21	Sam_16S_22	Sam_16S_23	Sam_16S_24	Sam_16S_25	Sam_16S_26
OTU163	3	0	0	36	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	53	0	0	0
OTU164	0	34	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU165	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0
OTU166	0	2	0	4	16	117	3	0	3	2	4	0	0	0	4	1	0	0	0	0	8	56	10	0	0	0
OTU167	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU168	0	11	0	3	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	20	0	0	0	0	0
OTU169	1	15	0	12	28	2	0	0	2	0	0	1	0	0	4	0	0	0	0	2	21	1	0	0	0	1
OTU17	0	1	0	8706	17	1130	1	2	0	0	1	0	0	0	0	0	0	0	0	4712	0	1585	2	0	1	0
OTU170	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU171	0	44	0	9	1	10	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	7	2	13	0	0
OTU172	0	0	0	0	1	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0
OTU173	0	4	11	534	0	0	6	0	3	474	0	0	0	0	3	244	0	0	22	343	0	0	5	2	0	0
OTU174	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0
OTU175	4	1	0	0	2	24	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	7	0	0	0	0
OTU176	0	0	0	0	0	0	11	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	57	0	0	0
OTU177	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0
OTU178	0	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	39	0	0	0
OTU179	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU18	4	87	93	3216	72	1350	422	12	4736	23	9	0	0	0	1690	0	1	7	100	1922	70	1315	1809	95	1	0
OTU180	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	11	0	0	0
OTU181	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	12	0	7	4	1	1
OTU182	29	159	0	1	15	11	799	196	118	9	207	1129	10	319	76	6	644	308	0	0	80	7	2941	151	1942	27
OTU183	5	43	0	0	15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	1	0	0	0	0
OTU184	1	2	0	9	0	25	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	0	0	0	0
OTU185	0	5	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	3	0	0	0	0
OTU186	0	1	1	773	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1252	2	8	0	0	0	2
OTU187	3	0	0	0	3	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
OTU188	14	4	2	42	0	4	1	0	0	0	0	0	0	0	0	0	0	0	1	15	0	3	3	0	0	0
OTU189	0	39	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU19	5	70	0	37	565	7	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2514	4	0	0	0	0
OTU190	0	107	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	0	0	0	0
OTU191	0	36	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	1	0	0	0	0
OTU192	0	0	0	0	0	0	12	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	19	0	0	0
OTU193	0	0	0	270	2	93	47	0	0	0	0	0	0	0	0	0	0	0	0	80	0	168	188	0	1	0
OTU194	0	2	0	0	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0
