Entry	Sam_16S_01	Sam_16S_02	Sam_16S_03	Sam_16S_04	Sam_16S_05	Sam_16S_06	Sam_16S_07	Sam_16S_08	Sam_16S_09	Sam_16S_10	Sam_16S_11	Sam_16S_12	Sam_16S_13	Sam_16S_14	Sam_16S_15	Sam_16S_16	Sam_16S_17	Sam_16S_18	Sam_16S_19	Sam_16S_20	Sam_16S_21	Sam_16S_22	Sam_16S_23	Sam_16S_24	Sam_16S_25	Sam_16S_26
ASV1138	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
ASV1139	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0
ASV114	0	1	0	0	0	301	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	259	31	0	0	0
ASV1140	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
ASV1141	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0
ASV1142	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
ASV1143	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1144	2	1	0	0	0	0	0	0	21	0	0	5	0	0	1	0	0	2	0	0	2	0	9	0	1	0
ASV1145	0	0	0	0	0	0	0	0	20	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0
ASV1146	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
ASV1147	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	11	3
ASV1148	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	8	0	0	0	0	0	0	0	0	0
ASV1149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0
ASV115	474	56	3	0	127	18	19	0	0	3	2	0	0	0	0	1	31	19	0	0	432	7	42	16	0	0
ASV1150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0
ASV1151	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0
ASV1152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0
ASV1153	0	7	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0
ASV1154	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0
ASV1155	0	0	0	14	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	22	0	0	0
ASV1156	0	2	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0
ASV1157	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0
ASV1158	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0
ASV1159	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	1	0	0	0	0	0	22	0
ASV116	0	0	131	0	1	0	12	0	0	0	0	3	0	0	0	0	0	15	413	0	1	0	0	1	3	0
ASV1160	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
ASV1161	12	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0
ASV1162	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV1163	2	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	1	0	1	0	9	0
ASV1164	1	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	12	0	0	0	0	0	0	0	0	0
ASV1165	1	1	0	14	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ASV1166	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0
ASV1167	0	1	1	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
ASV1168	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
ASV1169	0	21	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ASV117	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0
ASV1170	0	2	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
ASV1171	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
ASV1172	0	21	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
ASV1173	1	22	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	3	0	0	0	0	0	0	2	0
ASV1174	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
ASV1175	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
ASV1176	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
ASV1177	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
ASV1178	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0
ASV1179	0	0	4	19	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
ASV118	2	14	0	1	76	23	3	0	0	0	0	0	0	0	0	0	1	1	0	3	384	13	2	0	0	0
ASV1180	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0
ASV1181	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0
ASV1182	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
ASV1183	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0
ASV1184	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
ASV1185	0	0	0	0	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0
ASV1186	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
ASV1187	0	0	0	13	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	17	0	0	0	0
ASV1188	0	0	2	0	0	14	3	0	4	0	0	0	0	0	0	0	0	0	2	0	0	3	4	0	0	0
